Protein IDs,Majority protein IDs,Protein names,Gene names,Lead gene name,id,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,MS/MS count,Minus_log10_Pvalue,Log2FC,Median Normalized Intensity Cont1,Median Normalized Intensity Cont2,Median Normalized Intensity Cont3,Median Normalized Intensity Cont4,Median Normalized Intensity Cont5,Median Normalized Intensity Cont6,Median Normalized Intensity KD1,Median Normalized Intensity KD2,Median Normalized Intensity KD3,Median Normalized Intensity KD4,Median Normalized Intensity KD5,Median Normalized Intensity KD6
A0A075B6P0;Q330K2;E5RGD6;E5RFN5,A0A075B6P0;Q330K2,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",NDUFAF6,NDUFAF6,13,4,4,4,25.7,25.7,25.7,28.495,0.00091575,2.6748,13,0.776851047,0.399884105,-3.722766399,-2.16014576,-2.22390151,-2.969546556,-2.233472824,-2.854083776,-2.385529518,-2.716268778,-2.172697783,-2.184611559,-2.276433468,-2.029071093
A0A075B6R4;Q5JQC9,A0A075B6R4;Q5JQC9,A-kinase anchor protein 4,AKAP4,AKAP4,14,1,1,1,4.3,4.3,4.3,28.278,0.0068347,1.8805,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.552628756,NaN,NaN,-2.788772583
A0A075B730;P58107,A0A075B730;P58107,Epiplakin,EPPK1,EPPK1,15,7,3,3,11.4,6.6,6.6,553.12,0,24.615,7,1.506478989,-0.314914485,-1.658143163,-1.616056204,-1.545106053,-1.293749452,-1.688360572,-1.296670914,-1.937031746,-2.156848907,-1.559228301,-2.021668434,-1.540046215,-1.772749662
A0A087WX83;A0A075B749;Q5VU43;E9PQG4,A0A087WX83;A0A075B749;Q5VU43;E9PQG4,Myomegalin,PDE4DIP,PDE4DIP,16,3,3,3,1.9,1.9,1.9,275.27,0,16.073,9,1.691815437,1.458169448,-2.52252388,-3.300267696,-3.329981565,-2.162006617,-2.141602278,-2.37759757,-2.241107941,0.635699093,NaN,-1.19748497,-1.084812045,-2.016429901
M0R0E9;A0A075B7A1;M0R344;Q9NRA0,M0R0E9;A0A075B7A1;M0R344;Q9NRA0,Sphingosine kinase 2,SPHK2,SPHK2,17,2,2,2,16.1,16.1,16.1,27.631,0.0080389,1.7707,2,0.104566943,-0.10878696,-3.968693972,-3.208492279,-3.206329584,-4.743834019,-4.171421528,-3.194644213,-3.875866175,NaN,-3.643432379,-4.550204277,-3.361255407,NaN
A0A075B7B5;B7ZM87;O75044;Q5VZB4;P0DMP2;P0DJJ0;E9PDX4;A0A087X0L1;A0A286YEY3;A0A075B7E6,A0A075B7B5;B7ZM87;O75044,SLIT-ROBO Rho GTPase-activating protein 2,SRGAP2,SRGAP2,18,7,4,4,15.8,9.9,9.9,90.908,0,43.238,36,1.10976607,-1.407472372,-0.574239731,-2.327634335,-1.683840871,-2.546159029,-2.340590477,-1.231314778,NaN,-2.688802481,-2.812674284,-2.251894712,-2.318128109,-5.885678291
K7EM73;K7EIV0;A0A075B7C0;A0A0C4DGQ5;P04632;U3KQE2;K7ELJ7;U3KPR7;K7EKD8,K7EM73;K7EIV0;A0A075B7C0;A0A0C4DGQ5;P04632;U3KQE2;K7ELJ7,Calpain small subunit 1,CAPNS1,CAPNS1,19,4,4,4,46,46,46,15.958,0,26.297,35,0.901110362,-0.415678819,-1.627361178,-2.23384428,-1.496078849,-2.091393948,-1.461126328,-2.29902339,-2.278705597,-2.991026402,NaN,-1.810281754,-2.116394043,-2.222676277
Q16881;A0A087WSY9;A0A087WSW9;A0A182DWI3;F8W809;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;E7EWK1;A0A096LPD9;Q9NNW7;A0A096LPK7,Q16881;A0A087WSY9;A0A087WSW9;A0A182DWI3;F8W809;E9PIR7;E2QRB9,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,TXNRD1,20,18,18,18,44.5,44.5,44.5,70.905,0,175.89,329,5.730374539,-0.382536411,3.871188879,3.802316427,3.858222485,3.833358049,3.819099903,3.955315113,3.357843876,3.489876747,3.587390423,3.450950146,3.437893152,3.520328045
A0A087X2I2;A0A087WT12;P36969;K7ERP4;K7EKX7;R4GNE4;K7ENB4;K7EJ20;A0A087X247;A0A0A0MTT1,A0A087X2I2;A0A087WT12;P36969;K7ERP4;K7EKX7;R4GNE4;K7ENB4;K7EJ20,"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",GPX4,GPX4,21,7,7,7,33.2,33.2,33.2,22.024,0,13.493,50,0.149814337,0.075498839,2.014056683,2.188583851,1.587978721,2.128372908,1.926866889,2.244586945,2.269105911,2.445548534,2.007052183,1.506065249,1.738382339,2.577284813
A0A087WT20;Q9NV06;E5RHM4;A0A087X1F8;B3KME9,A0A087WT20;Q9NV06;E5RHM4;A0A087X1F8;B3KME9,DDB1- and CUL4-associated factor 13,DCAF13,DCAF13,22,4,4,4,9.5,9.5,9.5,67.55,0,4.3333,9,0.987915864,0.751825146,-0.767683446,0.400288582,-0.718540072,-0.820087135,-0.969122231,0.489486396,0.880562186,0.196406111,0.833799839,-0.830103099,-0.219616026,1.26424396
A0A087WT45;Q4V328;A0A087WXA6;A0A087WW92,A0A087WT45;Q4V328,GRIP1-associated protein 1,GRIPAP1,GRIPAP1,23,11,11,11,23.7,23.7,23.7,90.856,0,229.84,96,0.425569811,0.156337927,-0.263234347,0.302762747,0.221202701,0.316614091,-0.389202565,0.161462218,0.449086785,0.357046813,-0.0601657,0.272825539,0.464124292,-0.19528532
A0A087WXD2;H7C5T8;H7C4U7;H7C535;A0A087WT53;Q96QZ7,A0A087WXD2;H7C5T8;H7C4U7;H7C535;A0A087WT53;Q96QZ7,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",MAGI1,MAGI1,24,5,5,5,9.4,9.4,9.4,106.9,0,75.206,79,0.152066936,0.036366756,-0.825619638,-0.701760054,-0.648058832,-0.7645275,-0.685964644,-0.56771934,-0.492694467,-0.418738604,-0.997763872,-0.593034685,-0.780285239,-0.692932606
A0A087WT80;Q9NQ66;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;H0YCJ2;A0A0D9SFJ4;A0A1B0GVC1;Q8IV92;A0A1B0GW62;B1AK73;A0A0D9SGI7;A0A0D9SFE7;A0A1B0GVT0,A0A087WT80;Q9NQ66;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;H0YCJ2,"Phosphoinositide phospholipase C;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",PLCB1,PLCB1,25,11,11,11,15.9,15.9,15.9,129.64,0,38.607,53,1.102881525,-2.299340765,-0.524519503,0.613689899,0.13426289,0.377512932,0.546642542,0.471478254,-3.865204334,-5.559399128,-4.304738998,0.607182741,0.294375062,0.650807083
A0A087WT99;Q9H0W9;E9PPB5;E9PQS1;E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1;E9PJU8,A0A087WT99;Q9H0W9;E9PPB5;E9PQS1;E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1;E9PJU8,Ester hydrolase C11orf54,C11orf54,C11orf54,26,4,1,1,27.7,8.2,8.2,28.683,0.0037215,2.1346,1,0,-0.15850544,NaN,-5.380551815,NaN,NaN,NaN,-4.778244495,-5.237903595,NaN,NaN,NaN,NaN,NaN
A0A087WTA5;H7C2L8,A0A087WTA5,,EIF2B4,EIF2B4,27,14,1,1,42.9,3.8,3.8,57.495,0.00069897,2.881,3,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A087WTF6,A0A087WTF6,,NCAM1,NCAM1,28,29,1,0,41.3,1.1,0,93.329,0.0088328,1.7108,25,1.011710065,-0.283373425,1.397969007,1.771386623,1.028701425,1.118698001,1.112706304,1.583745241,1.384236693,0.969699204,0.734549522,0.914338708,1.243778944,1.066362977
F8W1I4;Q8TBL5;A0A087WTL9;F8VY40;Q96J85;Q71RC2,F8W1I4;Q8TBL5;A0A087WTL9;F8VY40;Q96J85;Q71RC2,La-related protein 4,LARP4,LARP4,29,2,2,2,20.8,20.8,20.8,14.143,0,6.6518,23,0.412316775,0.551821311,-4.590162754,-2.492614508,-4.93114996,-2.41056776,-2.438320875,-2.722076178,-2.292139053,-2.269467354,-4.601162434,-2.513506174,-2.353704214,-2.243984938
A0A087WTM1;Q9Y6N7;A0A087WZ85;A0A0A0MSX4;H7C4Y7,A0A087WTM1;Q9Y6N7;A0A087WZ85;A0A0A0MSX4,Roundabout homolog 1,ROBO1,ROBO1,30,10,10,10,10,10,10,175.85,0,15.628,73,0.098824376,-0.083947851,-0.082216024,-1.02625978,-0.596301794,-0.475817829,0.044003822,-1.271814108,-1.148842454,-0.691078305,-0.840867162,-0.100175217,0.170844853,-1.301974535
A0A087WTM5;H7BYJ1;Q969K3,A0A087WTM5;H7BYJ1;Q969K3,E3 ubiquitin-protein ligase RNF34,RNF34,RNF34,31,1,1,1,7.2,7.2,7.2,20.461,0.0020179,2.4059,4,0,-0.652984619,NaN,-2.8627913,-2.92250514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.545632839,NaN
A0A087WTP3;Q92945;M0R0I5;M0QYH3;M0QXW7;M0QYG1;M0R0C6;M0R3J3;M0R251;M0R263,A0A087WTP3;Q92945;M0R0I5,Far upstream element-binding protein 2,KHSRP,KHSRP,32,16,16,15,31.9,31.9,30,73.027,0,283.62,329,0.40144088,0.137009223,2.67143631,2.792959929,2.801912069,2.756561518,3.00665164,2.39741993,3.110050678,2.708869696,2.385536432,3.040416718,2.740895748,3.263227463
A0A087WTT8;A0A0A0MQX5;O94779,A0A087WTT8;A0A0A0MQX5;O94779,Contactin-5,CNTN5,CNTN5,34,3,3,3,4.5,4.5,4.5,112.32,0.00024015,3.3746,6,0.212475019,-0.394770575,-4.906863689,NaN,-5.091693401,-4.60808897,-3.28771925,-5.854088783,NaN,-5.541098118,NaN,NaN,-4.747824669,NaN
A0A0C4DH00;A0A087WTU1;A0A0B4J2G4;Q15345,A0A0C4DH00;A0A087WTU1;A0A0B4J2G4;Q15345,Leucine-rich repeat-containing protein 41,LRRC41,LRRC41,35,2,2,2,8.6,8.6,8.6,67,0,6.0035,14,0.195081152,-0.190087378,-3.617283344,NaN,-3.690193415,-4.16902256,-3.996784687,NaN,NaN,NaN,-4.366623402,-3.043526173,-4.722095966,-4.101387978
A0A087WTZ5;E9PJ81;E9PRQ7;Q04323;E9PS08,A0A087WTZ5;E9PJ81;E9PRQ7;Q04323,UBX domain-containing protein 1,UBXN1,UBXN1,36,5,5,5,35.7,35.7,35.7,27.015,0,61.751,40,2.354973545,1.510739261,-1.318273187,-2.68599844,-2.348389387,-1.912761807,-1.715239406,-3.050801039,-1.784921169,0.114272468,-1.199498653,0.282889038,-0.725965738,-0.653803647
H0YI58;H0YI50;A0A087WU02;Q96RQ1;H0YHJ8,H0YI58;H0YI50;A0A087WU02;Q96RQ1,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,ERGIC2,37,3,3,3,33.1,33.1,33.1,18.339,0.00023447,2.9814,18,0.592005447,-0.423027058,-1.706685424,-2.519200563,-1.829639077,-2.074047327,-1.670798659,-2.360444307,-2.478785515,-1.754108071,-3.855859995,-1.66985786,-2.451010704,-2.489355564
A0A087WU03,A0A087WU03,,HNRNPDL,HNRNPDL,38,1,1,1,31.6,31.6,31.6,6.7215,0,33.722,39,0.38075408,-0.823786621,0.596145391,0.701609671,0.33932972,0.295751423,0.395005852,0.345443159,0.82695508,0.456329972,-5.214278698,0.544909239,0.463691503,0.652958393
A0A087WU53;Q9H0U3,A0A087WU53;Q9H0U3,Magnesium transporter protein 1,MAGT1,MAGT1,39,1,1,1,2.7,2.7,2.7,41.531,0.0060099,1.9315,2,0.636840315,-0.165203651,-2.25612092,-1.941013694,-1.896194696,-1.679959416,-1.829731345,-1.520442367,-2.165599823,-2.173727512,-1.671995282,-2.146219015,-2.024939537,-1.932203174
A0A0G2JMS5;A0A087WU62;A0A087X2D5;Q9BRJ2,A0A0G2JMS5;A0A087WU62;A0A087X2D5;Q9BRJ2,"39S ribosomal protein L45, mitochondrial",MRPL45,MRPL45,40,5,5,5,24.6,24.6,24.6,29.408,0,6.9564,41,0.263868866,-0.142190662,0.007676795,0.286802083,0.24785234,0.472656876,-0.280376375,0.177594572,0.200443968,0.519351423,0.550860167,-0.379161447,-0.191568971,-0.640862823
Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,Beta-catenin-like protein 1,CTNNBL1,CTNNBL1,41,12,12,12,28.8,28.8,28.8,65.173,0,25.167,138,0.971225872,0.230051498,1.415793419,1.511952043,1.679203749,1.387638211,1.008628607,1.306859612,1.443958163,1.948942184,1.29996717,1.685560703,1.710955381,1.601001024
A0A087WUC6;E9PI68;Q15005;E9PL01;E9PRB9;H0YE04,A0A087WUC6;E9PI68;Q15005;E9PL01;E9PRB9,Signal peptidase complex subunit 2,SPCS2,SPCS2,42,7,7,7,33.5,33.5,33.5,25.09,0,94.253,144,0.111300517,0.04487439,2.518019199,3.122533083,3.107137203,2.775463104,2.895055056,2.866875172,3.229942322,2.967616081,3.017775297,2.777926445,2.410404444,3.150664568
A0A087WUD3;Q9NRP0,A0A087WUD3;Q9NRP0,Oligosaccharyltransferase complex subunit OSTC,OSTC,OSTC,43,1,1,1,14.5,14.5,14.5,9.369,0,11.161,22,0.508621698,0.195758734,-0.412474036,-0.481648922,-0.314329624,0.327543736,0.233687684,-0.269847393,0.473897457,0.315849125,-0.02351786,-0.178201303,-0.096251346,-0.234292224
A0A087WUK2;O14979,A0A087WUK2;O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,HNRNPDL,44,15,14,14,37.5,35.3,35.3,40.04,0,84.598,356,1.579206038,0.191497326,4.272559166,4.222447395,4.439370155,4.296288967,4.498464584,4.073981762,4.356613159,4.533024311,4.390038967,4.564516544,4.588120461,4.519782543
A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10,A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10,Proteasome subunit beta type-3,PSMB3,PSMB3,45,9,9,9,62.8,62.8,62.8,16.161,0,107.18,124,2.201019063,0.603767514,3.262800217,3.524216175,3.526265144,3.188232422,3.095189095,3.654174089,4.004184246,4.6376791,4.102048397,3.751529455,3.733146191,3.644894838
A0A087WZG9;B4DSP0;A0A087WUL4;A0A087WX23;A0A087WXK2;Q86TG7,A0A087WZG9;B4DSP0;A0A087WUL4;A0A087WX23;A0A087WXK2;Q86TG7,Retrotransposon-derived protein PEG10,PEG10,PEG10,46,6,6,6,20.9,20.9,20.9,40.471,0,49.871,72,0.240131202,0.228593874,-0.705231488,-0.632265985,-1.045031309,-0.102896467,-1.173080683,-1.717407227,-0.865233541,-2.059627771,-0.795317829,-0.042566683,0.181278765,-0.422882855
H0YJW7;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJ07;H0YJU7,H0YJW7;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,SLIRP,47,5,5,5,82.9,82.9,82.9,8.6918,0,89.047,98,0.699006961,-0.186407169,2.137780905,2.708481789,2.492680073,2.378598452,2.398679018,2.572350979,2.271430731,2.017202854,2.130071402,2.758000612,2.324834824,2.06858778
A0A087WUQ6;P07203;A0A2R8Y6B6;A0A494C1C9;A0A494C118,A0A087WUQ6;P07203;A0A2R8Y6B6,Glutathione peroxidase;Glutathione peroxidase 1,GPX1,GPX1,48,8,8,8,59.4,59.4,59.4,21.938,0,26.171,88,2.759647957,0.543423374,1.292101979,0.992644429,0.690200269,0.919437945,0.989545584,1.347115636,1.559466004,1.29144001,1.437560797,1.647814274,1.712435961,1.842869043
A0A087WUR6;Q8IU85;H7C071;Q14012,A0A087WUR6;Q8IU85;H7C071;Q14012,Calcium/calmodulin-dependent protein kinase type 1D;Calcium/calmodulin-dependent protein kinase type 1,CAMK1D;CAMK1,CAMK1D,49,5,5,5,21.6,21.6,21.6,32.472,0,4.8221,43,0.080598842,-0.038523922,-0.598203063,-0.643326283,-0.867408812,-0.313098043,-1.149260163,-0.535310686,-0.781406045,-0.678300202,-1.177889347,-0.751975596,-0.763532877,-0.184646517
A0A087WUT6;O60841,A0A087WUT6;O60841,Eukaryotic translation initiation factor 5B,EIF5B,EIF5B,50,19,19,19,25.5,25.5,25.5,138.68,0,97.235,198,0.980648195,0.566372116,2.456907749,2.660832644,2.327089548,2.11485076,2.445369005,2.517582178,4.417479992,2.815219164,2.968551159,2.326864958,2.406680584,2.986068726
A0A087WUX8;A0A087WYF7;Q6UXV4,A0A087WUX8;A0A087WYF7;Q6UXV4,MICOS complex subunit MIC27,APOOL,APOOL,51,4,4,4,21.3,21.3,21.3,28.761,0,5.4023,9,0.057335508,-0.042196155,-1.100226521,-1.328845024,-1.616737366,-1.035416365,-1.395061255,-2.387836218,-1.279444337,-1.479113579,-1.656221151,-2.14860177,-0.896723866,-1.657194972
O75928;A0A087WUY7;B4DGW0,O75928;A0A087WUY7;B4DGW0,E3 SUMO-protein ligase PIAS2,PIAS2,PIAS2,52,2,1,1,6.3,3.9,3.9,68.24,0.0094142,1.6458,12,0.166277105,-0.138907909,-4.729450226,-5.70100832,-5.353088379,-5.115364552,-4.460285664,-5.295905113,-6.024684906,-5.085694313,-6.013393879,-4.786874771,-4.347368717,-5.230533123
A0A087WV02;B4DRP8;A0A087WVP9;Q8TAF7;Q9Y2G7;Q8N141;Q9HCL3;P17039,A0A087WV02;B4DRP8;A0A087WVP9;Q8TAF7;Q9Y2G7;Q8N141;Q9HCL3;P17039,Zinc finger protein 461;Zinc finger protein 30 homolog;Zinc finger protein 82 homolog;Zinc finger protein 14 homolog;Zinc finger protein 30,ZNF461;ZFP30;ZFP82;ZFP14;ZNF30,ZNF461,53,2,2,2,12,12,12,30.27,0,7.5179,44,0.11577658,-0.137046891,-1.904313684,1.083049774,0.078571714,-0.08530055,-0.069142677,0.93134433,-0.170405775,-0.210907698,0.367436737,-0.298369497,-0.362991124,-0.112835079
Q9H0A0;A0A087WV29;E9PMU0,Q9H0A0;A0A087WV29,N-acetyltransferase 10,NAT10,NAT10,54,18,18,18,27.8,27.8,27.8,115.73,0,59.839,165,0.450890242,-0.098140535,0.304904699,0.17109783,0.75330162,0.367487937,0.533094049,0.634597182,0.283014566,0.461046606,0.243634671,0.324935466,0.315392554,0.547616243
A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1;P02810,A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1;P02810,Salivary acidic proline-rich phosphoprotein 1/2;Salivary acidic proline-rich phosphoprotein 1/2;Salivary acidic proline-rich phosphoprotein 3/4;Peptide P-C,PRH1,PRH1,55,1,1,1,10.7,10.7,10.7,14.001,0.00023524,3.0075,6,0,0.940273643,NaN,NaN,NaN,-3.223774195,NaN,-4.033578396,NaN,NaN,-2.688402653,NaN,NaN,NaN
Q6IAK0;A0A087WVA1;P62341,Q6IAK0;A0A087WVA1;P62341,Selenoprotein T,SELT,SELT,56,1,1,1,15.3,15.3,15.3,15.844,0.0002359,3.0527,20,0.702494326,-0.831066926,-2.721982002,-4.095704556,-3.362992287,-2.962240696,-3.251801729,NaN,-4.459623814,-3.561621189,-5.907310963,-2.714153051,-2.987505198,-5.029852867
A0A087WVC1;Q9BQ39,A0A087WVC1;Q9BQ39,ATP-dependent RNA helicase DDX50,DDX50,DDX50,57,6,5,5,15.1,13,13,82.226,0,26.479,81,1.625316569,-0.559128582,-1.046186328,-1.334599733,-0.775278151,-0.600869715,-1.159633279,-0.934836149,-1.408417463,-1.122642875,-2.084636211,-1.900659204,-0.973095179,-1.716723919
A0A087WVF7;Q9NZM3,A0A087WVF7;Q9NZM3,Intersectin-2,ITSN2,ITSN2,58,4,1,1,2.9,0.8,0.8,191.6,0.0060086,1.93,12,0.865516294,-0.911399134,-2.789057255,-2.907753229,-3.057433605,-3.105027676,-3.095251083,-2.987066746,-2.791894197,-5.576630592,-5.154849529,-2.616927862,-3.36801815,NaN
